examinee_count,config_id,method,common_items,table,file_path,total_items,sigma2,seed,total_examinees,multi_pop,creation_date,mu_list,num_tests,item_count
50,rnd_i10_c0_e50_s42,random,0,table2,simulation_data\table2_combined.pkl,100,,42,500,False,2025-06-06 13:09:21,,10,10
100,rnd_i10_c0_e100_s42,random,0,table2,simulation_data\table2_combined.pkl,100,,42,1000,False,2025-06-06 13:09:21,,10,10
500,rnd_i10_c0_e500_s42,random,0,table2,simulation_data\table2_combined.pkl,100,,42,5000,False,2025-06-06 13:09:21,,10,10
1000,rnd_i10_c0_e1000_s42,random,0,table2,simulation_data\table2_combined.pkl,100,,42,10000,False,2025-06-06 13:09:21,,10,10
50,rnd_i10_c5_e50_s42,random,5,table2,simulation_data\table2_combined.pkl,55,,42,500,False,2025-06-06 13:09:21,,10,10
100,rnd_i10_c5_e100_s42,random,5,table2,simulation_data\table2_combined.pkl,55,,42,1000,False,2025-06-06 13:09:21,,10,10
500,rnd_i10_c5_e500_s42,random,5,table2,simulation_data\table2_combined.pkl,55,,42,5000,False,2025-06-06 13:09:21,,10,10
1000,rnd_i10_c5_e1000_s42,random,5,table2,simulation_data\table2_combined.pkl,55,,42,10000,False,2025-06-06 13:09:21,,10,10
50,rnd_i30_c0_e50_s42,random,0,table2,simulation_data\table2_combined.pkl,300,,42,500,False,2025-06-06 13:09:21,,10,30
100,rnd_i30_c0_e100_s42,random,0,table2,simulation_data\table2_combined.pkl,300,,42,1000,False,2025-06-06 13:09:21,,10,30
500,rnd_i30_c0_e500_s42,random,0,table2,simulation_data\table2_combined.pkl,300,,42,5000,False,2025-06-06 13:09:21,,10,30
1000,rnd_i30_c0_e1000_s42,random,0,table2,simulation_data\table2_combined.pkl,300,,42,10000,False,2025-06-06 13:09:21,,10,30
50,rnd_i30_c5_e50_s42,random,5,table2,simulation_data\table2_combined.pkl,255,,42,500,False,2025-06-06 13:09:21,,10,30
100,rnd_i30_c5_e100_s42,random,5,table2,simulation_data\table2_combined.pkl,255,,42,1000,False,2025-06-06 13:09:21,,10,30
500,rnd_i30_c5_e500_s42,random,5,table2,simulation_data\table2_combined.pkl,255,,42,5000,False,2025-06-06 13:09:21,,10,30
